"","D614G","B.1.617.2","B.1.351","BA.1","BA.4/5"
"D614G",0,0.214265486299199,0.430738685500325,0.776013080180169,1
"B.1.617.2",0.214265486299199,0,0.216473199201126,0.561747593880971,0.785734513700801
"B.1.351",0.430738685500325,0.216473199201126,0,0.345274394679845,0.569261314499675
"BA.1",0.776013080180169,0.561747593880971,0.345274394679845,0,0.223986919819831
"BA.4/5",1,0.785734513700801,0.569261314499675,0.223986919819831,0
