"","D614G","B.1.617.2","B.1.351","BA.1","BA.4/5"
"D614G",0,0.224517183828137,0.446859756764976,0.801104851352269,1
"B.1.617.2",-0.224517183828137,0,0.222342572936839,0.576587667524132,0.775482816171863
"B.1.351",-0.446859756764976,-0.222342572936839,0,0.354245094587293,0.553140243235024
"BA.1",-0.801104851352269,-0.576587667524132,-0.354245094587293,0,0.198895148647731
"BA.4/5",-1,-0.775482816171863,-0.553140243235024,-0.198895148647731,0
